,Unnamed: 0,rep,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
0,4,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.1440833677157761,0.1051620732695093,0.1208447103190474,0.2183813100668475
1,9,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1.0,0.0,0.3417943864846332,0.2972285736308383,0.1427185751036989,0.1563125203181223
2,14,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0.0,0.0,0.4301907409727089,0.3666373416384278,0.1844271850168324,0.2109838715064172
3,19,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,0.0,0.0,0.1550525832656608,0.0982273668471529,0.122930484998791,0.2212989313696915
4,24,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,0.0,0.0,0.3811853905451293,0.2012136295554897,0.1200600155926203,0.2064270731141782
5,1,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.1897323495236118,0.18953608531709,0.1832686532307621,0.1955062464478709
6,2,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,l_shoulder+r_shoulder,100,0.0,0.0,0.1895847596969799,0.1893568353259495,0.1862193344400657,0.198203319651129
7,3,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder,100,0.0,0.0,0.1905135113726252,0.1899517451717445,0.1848101107506005,0.2005897145286211
8,4,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.1948841800064989,0.1947657996931982,0.1822372043913628,0.1935778935294141
9,6,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.1995772651529001,0.1994765393632121,0.1812699517630316,0.1926506266107578
10,7,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,l_shoulder+r_shoulder,200,0.0,0.0,0.1931484652118231,0.193044437926438,0.1833365348094068,0.1946875233380459
11,8,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder,200,0.0,0.0,0.1907114582250015,0.1902637374283275,0.1822588383202629,0.1971617545785079
12,9,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0.0,0.0,0.1876282440153591,0.1874222686040741,0.1837377049241833,0.1948724435380026
13,11,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+wrist_depth,600,0.0,0.0,0.1929701004514615,0.1928567010915475,0.1826247994582851,0.1942247832342575
14,12,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,l_shoulder+r_shoulder,600,0.0,0.0,0.1863200352180925,0.1859288716813375,0.1813315790427037,0.1955055994655143
15,13,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder,600,0.0,0.0,0.1905538962509081,0.1903140549785246,0.1826966148579057,0.1957338727499747
16,14,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0.0,0.0,0.1923200928582105,0.1921512726287754,0.1826137646253625,0.1952541796903461
17,16,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+wrist_depth,1000,0.0,0.0,0.1906998654695214,0.1904044439560182,0.1827373159221695,0.1956672679302989
18,17,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,l_shoulder+r_shoulder,1000,0.0,0.0,0.1913949549399501,0.1911653829759925,0.1824651806023977,0.195084738348483
19,18,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder,1000,0.0,0.0,0.2473134365601564,0.1407817687002384,0.2014275748276998,0.3246834342097047
20,19,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,0.0,0.0,0.189379798894385,0.1890756757521537,0.1824560378310718,0.1958575747375821
21,21,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+wrist_depth,2000,0.0,0.0,0.1906448134261288,0.1904343083359311,0.1825969943357058,0.1951928670848413
22,22,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,l_shoulder+r_shoulder,2000,0.0,0.0,0.190359391761982,0.1900706977137118,0.1824821818100354,0.1955992329022823
23,23,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder,2000,0.0,0.0,0.1911501052978679,0.1909239836998121,0.1825297682772131,0.1953346437390467
24,24,0,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,0.0,0.0,0.1905134574133853,0.1903146734219566,0.1826177490532927,0.1953210160246181
25,4,1,FuseConfig.W_D_L_R_FILM,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.2696346799329809,0.1851574032255119,0.1231237138580697,0.1342625730710904
26,9,1,FuseConfig.W_D_L_R_FILM,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0.0,0.0,0.4199133999311063,0.3060086487867787,0.1379757830432892,0.1486522708493388
