,Unnamed: 0,rep,config,error,task_name,demo_idx,cam_type,epochs,is_control_done,is_test_done,control_final_distance,control_min_distance,test_final_distance,test_min_distance,control_gripper_image_paths,test_gripper_image_paths
19,99,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,9.0,wrist+l_shoulder+r_shoulder+wrist_depth,200,False,False,0.359262174779394,0.2597503548715469,0.1285066889165244,0.1127915027886991,"['outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48', 'outputs/run-grasp-with-agent/_June07_16-48']",[]
20,140,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,0.0,wrist+l_shoulder+r_shoulder+wrist_depth,600,False,False,0.5103227449306729,0.4126649994511471,0.2158111902942036,0.160894737846125,[],[]
21,141,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,1.0,wrist+l_shoulder+r_shoulder+wrist_depth,600,False,False,0.5984582034869022,0.4485218884901903,0.196748042708815,0.18108357984541,[],[]
22,142,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,2.0,wrist+l_shoulder+r_shoulder+wrist_depth,600,False,False,0.5253819960130761,0.4618053503913988,0.2043415881341525,0.1802933129702685,[],[]
23,143,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,3.0,wrist+l_shoulder+r_shoulder+wrist_depth,600,False,False,0.4029537467450282,0.3881528538246486,0.214021590186243,0.2013827042681086,[],[]
24,144,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,4.0,wrist+l_shoulder+r_shoulder+wrist_depth,600,False,False,0.287926988510038,0.287926988510038,0.3088695239016435,0.2850533395879657,[],[]
25,145,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,5.0,wrist+l_shoulder+r_shoulder+wrist_depth,600,False,False,0.395180703288806,0.3374304950772466,0.1840385713505388,0.1650293256428464,[],[]
26,146,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,6.0,wrist+l_shoulder+r_shoulder+wrist_depth,600,False,False,0.3313292400558836,0.3291217262319842,0.2999329688771434,0.2740579724761006,[],[]
27,147,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,7.0,wrist+l_shoulder+r_shoulder+wrist_depth,600,False,False,0.3813218439602074,0.2978548210437995,0.1352367808032816,0.0881353162971379,[],[]
28,148,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,8.0,wrist+l_shoulder+r_shoulder+wrist_depth,600,False,False,0.5667817455360423,0.4810699545014068,0.1733804665212436,0.1733804665212436,[],[]
