epoch,minibatch_size,learning_rate,demo_count,task_name,final_dists,has_reached,final_dist_avg
400,32,0.0001,5,ReachObs_RandomStatic,"[0.46632754 0.90915179 0.47662444 0.34329175 0.89066436 0.41760227 0.09239684 0.59501074 0.64206581 0.78305883]",[False False False False False False  True False False False],0.561619437
400,32,0.0001,10,ReachObs_RandomStatic,"[0.5012768  0.09722703 0.17322244 0.85875879 0.22577117 0.41050739 0.07804907 0.43789839 1.10116488 0.79877639]",[False False False False False False  True False False False],0.4682652349999999
400,64,0.005,1,ReachObs_RandomStatic,"[0.97024196 0.17271782 1.29386338 0.3038458  0.09666955 0.85946801 0.51520692 0.2561567  0.50394818 0.07155285]",[False False False False  True False False False False  True],0.5043671169999999
400,64,0.005,5,ReachObs_RandomStatic,"[0.14085107 0.3931633  0.85033297 0.33963968 0.21825521 0.60890953 0.4563067  1.09222393 0.36019542 0.35416261]",[False False False False False False False False False False],0.481404042
400,64,0.005,10,ReachObs_RandomStatic,"[0.21866367 0.63212599 0.10310739 0.29470101 0.40312399 0.20733885 0.35574989 0.7072385  0.86367699 0.37740849]",[False False False False False False False False False False],0.416313477
400,64,0.001,1,ReachObs_RandomStatic,"[0.39309871 0.38634439 0.66104137 0.70760508 0.50678915 0.26293717 0.08220511 0.06945503 0.15290644 0.08535625]",[False False False False False False False False False  True],0.3307738699999999
400,64,0.001,5,ReachObs_RandomStatic,"[0.81928728 0.35849883 0.11322017 0.61655948 0.31515418 0.85517293 0.49862749 0.2741573  0.09419159 0.94683999]",[False False  True False False False False False  True False],0.489170924
400,64,0.001,10,ReachObs_RandomStatic,"[0.61721887 0.92215894 0.57158344 0.0734637  0.50389748 0.19554984 0.53810766 0.14735771 0.54353694 0.83970118]",[False False False  True False False False False False False],0.495257576
400,64,0.0001,1,ReachObs_RandomStatic,"[0.39698872 0.37019153 0.71430441 0.20236638 1.09185175 0.41867328 0.35062584 0.26464878 0.07547335 0.43277956]",[False False False False False False False False False False],0.43179036
400,64,0.0001,5,ReachObs_RandomStatic,"[0.62282587 0.69246716 0.08050516 0.52695411 0.6124032  0.34727097 0.23127283 0.20184792 0.1679538  0.73012042]",[False False  True False False False False False False False],0.421362144
400,64,0.0001,10,ReachObs_RandomStatic,"[0.58749944 0.53138274 0.85570442 0.3620145  0.09976857 0.84648905 0.06907344 0.32098024 0.63001405 0.12441561]",[False False False False False False False False False False],0.442734206
