,task_name,setting_rep,train_rep,cam_type,demo_count,max_eplen,epochs,is_success,min_distance,final_distance,gripper_image_paths
37,Vision_Random,3,7,wrist,10,demo_max,200,True,0.08508082204804397,0.08746226844835507,['outputs/run-grasp-with-agent/_May14_12-37/3']
38,Vision_Random,3,8,wrist,10,demo_max,200,False,0.3358841948133507,0.3358841948133507,[]
39,Vision_Random,3,9,wrist,10,demo_max,200,False,0.1448288675143694,0.1448288675143694,[]
40,Vision_Random,4,0,wrist,10,demo_max,200,False,0.2947885318751119,0.4270984410221136,[]
41,Vision_Random,4,1,wrist,10,demo_max,200,False,0.570173568149886,0.6155511364236129,[]
42,Vision_Random,4,2,wrist,10,demo_max,200,True,0.09325059788267118,0.09698481070604649,['outputs/run-grasp-with-agent/_May14_12-37/4']
43,Vision_Random,4,3,wrist,10,demo_max,200,False,0.06382694434164814,0.0684662689555547,"['outputs/run-grasp-with-agent/_May14_12-37/4', 'outputs/run-grasp-with-agent/_May14_12-37/4', 'outputs/run-grasp-with-agent/_May14_12-37/4', 'outputs/run-grasp-with-agent/_May14_12-37/4', 'outputs/run-grasp-with-agent/_May14_12-37/4', 'outputs/run-grasp-with-agent/_May14_12-37/4']"
44,Vision_Random,4,4,wrist,10,demo_max,200,False,0.3691234768999052,0.43681789411503297,[]
45,Vision_Random,4,5,wrist,10,demo_max,200,False,0.08063986765488697,0.09167542797576693,[]
46,Vision_Random,4,6,wrist,10,demo_max,200,False,0.08025671321549771,0.08108085172818581,[]
47,Vision_Random,4,7,wrist,10,demo_max,200,True,0.10166487622629351,0.10450176064900427,['outputs/run-grasp-with-agent/_May14_12-37/4']
48,Vision_Random,4,8,wrist,10,demo_max,200,False,0.08735563870457366,0.08777795926165254,[]
49,Vision_Random,4,9,wrist,10,demo_max,200,False,0.4122695135144018,0.4850019460942381,[]
50,Vision_Random,5,0,wrist,10,demo_max,500,True,0.09191794836558624,0.09191794836558624,['outputs/run-grasp-with-agent/_May14_12-38/5']
51,Vision_Random,5,1,wrist,10,demo_max,500,True,0.09295077837403426,0.09295077837403426,['outputs/run-grasp-with-agent/_May14_12-38/5']
52,Vision_Random,5,2,wrist,10,demo_max,500,False,0.28732288771570647,0.3392517100684045,[]
53,Vision_Random,5,3,wrist,10,demo_max,500,False,0.1060112527285519,0.1740146990506969,[]
54,Vision_Random,5,4,wrist,10,demo_max,500,False,0.5194608640467485,0.5194608640467485,[]
55,Vision_Random,5,5,wrist,10,demo_max,500,True,0.08664307267692838,0.08664307267692838,['outputs/run-grasp-with-agent/_May14_12-38/5']
56,Vision_Random,5,6,wrist,10,demo_max,500,True,0.09046408075471779,0.09046408075471779,['outputs/run-grasp-with-agent/_May14_12-38/5']
57,Vision_Random,5,7,wrist,10,demo_max,500,True,0.08366878322349408,0.08366878322349408,['outputs/run-grasp-with-agent/_May14_12-38/5']
58,Vision_Random,5,8,wrist,10,demo_max,500,False,0.3800001645084551,0.38430256711573463,[]
59,Vision_Random,5,9,wrist,10,demo_max,500,False,0.08066715158428903,0.08921827796393143,"['outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5', 'outputs/run-grasp-with-agent/_May14_12-38/5']"
60,Vision_Random,6,0,wrist,10,demo_max,500,False,0.0800250031568841,0.08131733596432976,[]
61,Vision_Random,6,1,wrist,10,demo_max,500,True,0.08990080250511957,0.09143414245702315,['outputs/run-grasp-with-agent/_May14_12-39/6']
62,Vision_Random,6,2,wrist,10,demo_max,500,False,0.13071928664197005,0.13071928664197005,[]
63,Vision_Random,6,3,wrist,10,demo_max,500,False,0.08111733197457961,0.0877793557396397,[]
64,Vision_Random,6,4,wrist,10,demo_max,500,True,0.0833090968217053,0.08553338582523845,['outputs/run-grasp-with-agent/_May14_12-39/6']
65,Vision_Random,6,5,wrist,10,demo_max,500,True,0.08749456725369144,0.08749456725369144,['outputs/run-grasp-with-agent/_May14_12-39/6']
66,Vision_Random,6,6,wrist,10,demo_max,500,False,0.42449636802776425,0.42449636802776425,[]
67,Vision_Random,6,7,wrist,10,demo_max,500,True,0.08035784618428776,0.08035784618428776,['outputs/run-grasp-with-agent/_May14_12-39/6']
68,Vision_Random,6,8,wrist,10,demo_max,500,False,0.1263331991962278,0.1263331991962278,[]
69,Vision_Random,6,9,wrist,10,demo_max,500,True,0.09625694285217153,0.09625694285217153,['outputs/run-grasp-with-agent/_May14_12-39/6']
70,Vision_Random,7,0,wrist,10,demo_max,500,True,0.0863031926490662,0.09163333947668033,['outputs/run-grasp-with-agent/_May14_12-39/7']
71,Vision_Random,7,1,wrist,10,demo_max,500,True,0.08313798681332063,0.08313798681332063,['outputs/run-grasp-with-agent/_May14_12-39/7']
72,Vision_Random,7,2,wrist,10,demo_max,500,False,0.29654190971816674,0.32281477276587384,[]
73,Vision_Random,7,3,wrist,10,demo_max,500,True,0.08765520373520683,0.08765520373520683,['outputs/run-grasp-with-agent/_May14_12-39/7']
74,Vision_Random,7,4,wrist,10,demo_max,500,True,0.08851999091453067,0.08851999091453067,['outputs/run-grasp-with-agent/_May14_12-39/7']
75,Vision_Random,7,5,wrist,10,demo_max,500,False,0.3788879746514264,0.5030610700990186,[]
76,Vision_Random,7,6,wrist,10,demo_max,500,True,0.09599880661531221,0.09599880661531221,['outputs/run-grasp-with-agent/_May14_12-40/7']
77,Vision_Random,7,7,wrist,10,demo_max,500,True,0.07944233983720085,0.0798736469563958,['outputs/run-grasp-with-agent/_May14_12-40/7']
78,Vision_Random,7,8,wrist,10,demo_max,500,False,0.1225471041769263,0.12259898298566382,[]
79,Vision_Random,7,9,wrist,10,demo_max,500,True,0.0905571837277731,0.09073402296552083,['outputs/run-grasp-with-agent/_May14_12-40/7']
80,Vision_Random,8,0,wrist,10,demo_max,500,False,0.4849445860961509,0.4849445860961509,[]
81,Vision_Random,8,1,wrist,10,demo_max,500,True,0.10807603465181817,0.10807603465181817,['outputs/run-grasp-with-agent/_May14_12-40/8']
82,Vision_Random,8,2,wrist,10,demo_max,500,True,0.12497516646593286,0.12497516646593286,['outputs/run-grasp-with-agent/_May14_12-40/8']
83,Vision_Random,8,3,wrist,10,demo_max,500,False,0.359200945865288,0.4126124057182264,[]
84,Vision_Random,8,4,wrist,10,demo_max,500,True,0.09562783264989112,0.09562783264989112,['outputs/run-grasp-with-agent/_May14_12-40/8']
85,Vision_Random,8,5,wrist,10,demo_max,500,False,0.12279702898479866,0.12280762061404533,[]
86,Vision_Random,8,6,wrist,10,demo_max,500,False,0.11636989098104725,0.5050334300577725,[]
87,Vision_Random,8,7,wrist,10,demo_max,500,False,0.12345338090124033,0.12346375819720189,[]
88,Vision_Random,8,8,wrist,10,demo_max,500,True,0.09795802494907464,0.09997060655430447,['outputs/run-grasp-with-agent/_May14_12-40/8']
89,Vision_Random,8,9,wrist,10,demo_max,500,False,0.122374696132422,0.12770389105591262,['outputs/run-grasp-with-agent/_May14_12-40/8']
90,Vision_Random,9,0,wrist,10,demo_max,500,True,0.08491740471572805,0.08491740471572805,['outputs/run-grasp-with-agent/_May14_12-41/9']
91,Vision_Random,9,1,wrist,10,demo_max,500,True,0.09411954164130813,0.09411954164130813,['outputs/run-grasp-with-agent/_May14_12-41/9']
92,Vision_Random,9,2,wrist,10,demo_max,500,False,0.160083716897616,0.5138161541322562,[]
93,Vision_Random,9,3,wrist,10,demo_max,500,False,0.25301685215309155,0.48288421150976274,[]
94,Vision_Random,9,4,wrist,10,demo_max,500,True,0.08304550685566883,0.08304550685566883,['outputs/run-grasp-with-agent/_May14_12-41/9']
95,Vision_Random,9,5,wrist,10,demo_max,500,False,0.3457035549425718,0.48814110205797295,[]
96,Vision_Random,9,6,wrist,10,demo_max,500,True,0.11205318567899797,0.11205318567899797,['outputs/run-grasp-with-agent/_May14_12-41/9']
97,Vision_Random,9,7,wrist,10,demo_max,500,False,0.30878204610851206,0.4362433058218552,[]
98,Vision_Random,9,8,wrist,10,demo_max,500,True,0.10516975358898449,0.10516975358898449,['outputs/run-grasp-with-agent/_May14_12-41/9']
99,Vision_Random,9,9,wrist,10,demo_max,500,True,0.0959430099580587,0.10090717335164352,['outputs/run-grasp-with-agent/_May14_12-41/9']
100,Vision_Random,10,0,wrist,10,demo_max,1000,True,0.0925038007883354,0.09766588856501521,['outputs/run-grasp-with-agent/_May14_12-42/10']
101,Vision_Random,10,1,wrist,10,demo_max,1000,False,0.07838487238209504,0.0786389718102123,[]
102,Vision_Random,10,2,wrist,10,demo_max,1000,False,0.08344654518909476,0.08344654518909476,[]
103,Vision_Random,10,3,wrist,10,demo_max,1000,True,0.09639446433589093,0.09639446433589093,['outputs/run-grasp-with-agent/_May14_12-42/10']
