,task_name,cam_type,epochs,demo_count,max_eplen,is_success,min_distance,final_distance,dataset_type
62,Reach_Central,wrist,200,1,52,True,0.1324532460400771,0.1324532460400771,demo
63,Reach_Central,wrist,400,1,52,True,0.12474626592945712,0.12474626592945712,demo
64,Reach_Central,wrist,500,1,52,False,0.44756462654236295,0.44756462654236295,demo
65,Reach_Central,wrist,600,1,52,False,0.5203845575242494,0.5203845575242494,demo
66,Reach_Central,wrist,800,1,52,False,0.341959337452381,0.341959337452381,demo
67,Reach_Central,wrist,1000,1,52,False,0.28957781452205617,0.28957781452205617,demo
68,Reach_Central,wrist,1500,1,52,False,0.20826612840046727,0.20826612840046727,demo
69,Reach_Central,wrist,2000,1,52,False,0.530086353929844,0.530086353929844,demo
70,Reach_Central,wrist,3000,1,52,False,0.3540199254979845,0.3540199254979845,demo
71,Reach_Central,wrist,4000,1,52,False,0.38946587612492134,0.38946587612492134,demo
72,Reach_Central,wrist,5000,1,52,False,0.32592545719581956,0.32592545719581956,demo
73,Reach_Central,wrist,10000,1,52,False,0.22562870634400184,0.22562870634400184,demo
74,Reach_Central,wrist,20000,1,52,False,0.2307994306053013,0.2307994306053013,demo
75,Reach_Central,wrist,50000,1,52,False,0.42231697698504356,0.42231697698504356,demo
76,Reach_SideLeft,wrist,1,1,54,False,0.6896442620588535,0.8697213810167789,demo
77,Reach_SideLeft,wrist,2,1,54,False,0.5773089361191849,0.5773089361191849,demo
78,Reach_SideLeft,wrist,10,1,54,True,0.11494824187311752,0.11494824187311752,demo
79,Reach_SideLeft,wrist,50,1,54,True,0.10867118981018328,0.10867118981018328,demo
80,Reach_SideLeft,wrist,100,1,54,True,0.11681996310424587,0.11681996310424587,demo
81,Reach_SideLeft,wrist,200,1,54,False,0.5097694078564697,0.5097694078564697,demo
82,Reach_SideLeft,wrist,400,1,54,False,0.6202836391800113,0.6202836391800113,demo
83,Reach_SideLeft,wrist,500,1,54,False,0.6419233463567434,0.6419233463567434,demo
84,Reach_SideLeft,wrist,600,1,54,False,0.6152401012866574,0.6152401012866574,demo
85,Reach_SideLeft,wrist,800,1,54,False,0.6254078425890113,0.6254078425890113,demo
86,Reach_SideLeft,wrist,1000,1,54,False,0.6173173087549382,0.6173173087549382,demo
87,Reach_SideLeft,wrist,1500,1,54,False,0.6315537458662951,0.6315537458662951,demo
88,Reach_SideLeft,wrist,2000,1,54,False,0.6279783030030216,0.6279783030030216,demo
