,task_name,cam_type,epochs,done_count,avg_min_distance,avg_final_distance,dataset_type,seed,config,agent,error
17,ReachObs_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,5,0.22058206522667603,0.2935346278146692,demo,1901,FuseConfig.WDLR,agent-policy:fusing_policy-cams:wrist+l_shoulder+r_shoulder+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.WDLR-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
18,ReachObs_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,4,0.25760097564565676,0.3256246459778192,demo,1901,FuseConfig.WDLR,agent-policy:fusing_policy-cams:wrist+l_shoulder+r_shoulder+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.WDLR-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
19,ReachObs_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,5,0.25867786030507933,0.2748449929029801,demo,1901,FuseConfig.WDLR,agent-policy:fusing_policy-cams:wrist+l_shoulder+r_shoulder+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.WDLR-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
20,ReachObs_Random,wrist,100,,,,,1901,FuseConfig.WLR_D,,True
21,ReachObs_Random,wrist,200,,,,,1901,FuseConfig.WLR_D,,True
22,ReachObs_Random,wrist,500,,,,,1901,FuseConfig.WLR_D,,True
23,ReachObs_Random,wrist,1000,,,,,1901,FuseConfig.WLR_D,,True
24,ReachObs_Random,wrist+wrist_depth,100,0,0.4252793830308444,0.8477438214741116,demo,1901,FuseConfig.WLR_D,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.WLR_D-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
25,ReachObs_Random,wrist+wrist_depth,200,0,0.35273851320699623,0.47549157749548226,demo,1901,FuseConfig.WLR_D,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.WLR_D-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
26,ReachObs_Random,wrist+wrist_depth,500,0,0.368714301594384,0.5397789940974743,demo,1901,FuseConfig.WLR_D,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.WLR_D-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
27,ReachObs_Random,wrist+wrist_depth,1000,0,0.3890057957056013,0.6305505620603411,demo,1901,FuseConfig.WLR_D,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.WLR_D-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
28,ReachObs_Random,l_shoulder+r_shoulder,100,,,,,1901,FuseConfig.WLR_D,,True
29,ReachObs_Random,l_shoulder+r_shoulder,200,,,,,1901,FuseConfig.WLR_D,,True
30,ReachObs_Random,l_shoulder+r_shoulder,500,,,,,1901,FuseConfig.WLR_D,,True
31,ReachObs_Random,l_shoulder+r_shoulder,1000,,,,,1901,FuseConfig.WLR_D,,True
32,ReachObs_Random,wrist+l_shoulder+r_shoulder,100,,,,,1901,FuseConfig.WLR_D,,True
33,ReachObs_Random,wrist+l_shoulder+r_shoulder,200,,,,,1901,FuseConfig.WLR_D,,True
34,ReachObs_Random,wrist+l_shoulder+r_shoulder,500,,,,,1901,FuseConfig.WLR_D,,True
35,ReachObs_Random,wrist+l_shoulder+r_shoulder,1000,,,,,1901,FuseConfig.WLR_D,,True
36,ReachObs_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,1,0.41443595735402605,0.6393185316493016,demo,1901,FuseConfig.WLR_D,agent-policy:fusing_policy-cams:wrist+l_shoulder+r_shoulder+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.WLR_D-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
37,ReachObs_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,2,0.3038548953773138,0.3185244675280722,demo,1901,FuseConfig.WLR_D,agent-policy:fusing_policy-cams:wrist+l_shoulder+r_shoulder+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.WLR_D-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
38,ReachObs_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,2,0.3735659890596371,0.521248331325346,demo,1901,FuseConfig.WLR_D,agent-policy:fusing_policy-cams:wrist+l_shoulder+r_shoulder+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.WLR_D-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
39,ReachObs_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,0,0.4389883249524029,0.5991528525118406,demo,1901,FuseConfig.WLR_D,agent-policy:fusing_policy-cams:wrist+l_shoulder+r_shoulder+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.WLR_D-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
40,ReachObs_Random,wrist,100,,,,,1901,FuseConfig.DEPTH_FEATS_GATED,,True
41,ReachObs_Random,wrist,200,,,,,1901,FuseConfig.DEPTH_FEATS_GATED,,True
42,ReachObs_Random,wrist,500,,,,,1901,FuseConfig.DEPTH_FEATS_GATED,,True
43,ReachObs_Random,wrist,1000,,,,,1901,FuseConfig.DEPTH_FEATS_GATED,,True
44,ReachObs_Random,wrist+wrist_depth,100,3,0.2828438037087751,0.29767385518644485,demo,1901,FuseConfig.DEPTH_FEATS_GATED,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.DEPTH_FEATS_GATED-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
45,ReachObs_Random,wrist+wrist_depth,200,0,0.3915867562349529,0.5458652500355183,demo,1901,FuseConfig.DEPTH_FEATS_GATED,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.DEPTH_FEATS_GATED-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
46,ReachObs_Random,wrist+wrist_depth,500,0,0.39256636328583716,0.7231221229595954,demo,1901,FuseConfig.DEPTH_FEATS_GATED,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.DEPTH_FEATS_GATED-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
47,ReachObs_Random,wrist+wrist_depth,1000,0,0.37219364670013494,0.5272880766756869,demo,1901,FuseConfig.DEPTH_FEATS_GATED,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.DEPTH_FEATS_GATED-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
48,ReachObs_Random,l_shoulder+r_shoulder,100,,,,,1901,FuseConfig.DEPTH_FEATS_GATED,,True
49,ReachObs_Random,l_shoulder+r_shoulder,200,,,,,1901,FuseConfig.DEPTH_FEATS_GATED,,True
50,ReachObs_Random,l_shoulder+r_shoulder,500,,,,,1901,FuseConfig.DEPTH_FEATS_GATED,,True
51,ReachObs_Random,l_shoulder+r_shoulder,1000,,,,,1901,FuseConfig.DEPTH_FEATS_GATED,,True
52,ReachObs_Random,wrist+l_shoulder+r_shoulder,100,,,,,1901,FuseConfig.DEPTH_FEATS_GATED,,True
53,ReachObs_Random,wrist+l_shoulder+r_shoulder,200,,,,,1901,FuseConfig.DEPTH_FEATS_GATED,,True
54,ReachObs_Random,wrist+l_shoulder+r_shoulder,500,,,,,1901,FuseConfig.DEPTH_FEATS_GATED,,True
55,ReachObs_Random,wrist+l_shoulder+r_shoulder,1000,,,,,1901,FuseConfig.DEPTH_FEATS_GATED,,True
