,task_name,cam_type,epochs,done_count,avg_min_distance,avg_final_distance,dataset_type,seed,config,agent,error
0,ReachObs_Random,wrist+wrist_depth,100,0,0.3774557506624408,0.4075264477907937,demo,3790,FuseConfig.Wfilm_D,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.Wfilm_D-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
1,ReachObs_Random,wrist+wrist_depth,200,0,0.33323411381637974,0.495203840143389,demo,3790,FuseConfig.Wfilm_D,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.Wfilm_D-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
2,ReachObs_Random,wrist+wrist_depth,500,0,0.3975514566507576,0.7663663576467716,demo,3790,FuseConfig.Wfilm_D,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.Wfilm_D-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
3,ReachObs_Random,wrist+wrist_depth,1000,1,0.33341985746691366,0.4580781470879841,demo,3790,FuseConfig.Wfilm_D,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.Wfilm_D-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
4,ReachObs_Random,wrist+wrist_depth,2000,0,0.37186896997425267,0.536576646488532,demo,3790,FuseConfig.Wfilm_D,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.Wfilm_D-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
5,ReachObs_Random,wrist+wrist_depth,5000,0,0.36362181807899174,0.6585478736311363,demo,3790,FuseConfig.Wfilm_D,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.Wfilm_D-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
6,ReachObs_Random,wrist+wrist_depth,100,3,0.18687946649074233,0.2094892978755909,demo,3790,FuseConfig.W_Dfilm,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.W_Dfilm-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
7,ReachObs_Random,wrist+wrist_depth,200,2,0.22588595679170492,0.24741716064406621,demo,3790,FuseConfig.W_Dfilm,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.W_Dfilm-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
8,ReachObs_Random,wrist+wrist_depth,500,2,0.2897322292650624,0.3909685037583758,demo,3790,FuseConfig.W_Dfilm,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.W_Dfilm-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
9,ReachObs_Random,wrist+wrist_depth,1000,1,0.2974834077136334,0.4134480041930992,demo,3790,FuseConfig.W_Dfilm,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.W_Dfilm-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
10,ReachObs_Random,wrist+wrist_depth,2000,1,0.3190098051734506,0.38786497703992523,demo,3790,FuseConfig.W_Dfilm,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.W_Dfilm-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
11,ReachObs_Random,wrist+wrist_depth,5000,2,0.3222230297213009,0.36358280288358974,demo,3790,FuseConfig.W_Dfilm,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.W_Dfilm-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
12,ReachObs_Random,wrist+wrist_depth,100,0,0.40104434211488804,0.572734808089254,demo,3790,FuseConfig.Wfilm_Dfilm,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.Wfilm_Dfilm-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
13,ReachObs_Random,wrist+wrist_depth,200,0,0.3426276527116318,0.43587080338595935,demo,3790,FuseConfig.Wfilm_Dfilm,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.Wfilm_Dfilm-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
14,ReachObs_Random,wrist+wrist_depth,500,1,0.361134109615852,0.45719988293124614,demo,3790,FuseConfig.Wfilm_Dfilm,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.Wfilm_Dfilm-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
15,ReachObs_Random,wrist+wrist_depth,1000,1,0.29379355993066375,0.3434824791129741,demo,3790,FuseConfig.Wfilm_Dfilm,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.Wfilm_Dfilm-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
16,ReachObs_Random,wrist+wrist_depth,2000,0,0.35417340378515666,0.5661737147151304,demo,3790,FuseConfig.Wfilm_Dfilm,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.Wfilm_Dfilm-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
17,ReachObs_Random,wrist+wrist_depth,5000,0,0.3228810670744901,0.5250578052498623,demo,3790,FuseConfig.Wfilm_Dfilm,agent-policy:fusing_policy-cams:wrist+wrist_depth-policy:fusing_policy-fuse_config:FuseConfig.Wfilm_Dfilm-is_grasp:False-use_proprio:False-fusing_opts:{}-proprio_opts:{},False
