cam_type,task_name,demo_count,final_dists,final_dist_avg,has_reached
wrist,ReachObs_Random,5,"[0.34078318 0.71296325 0.90865427 0.49704493 0.81256335 0.50527365
 0.5823165  0.18974675 0.43664954 0.76268329]",0.5748678721499175,[False False False False False False False False False False]
wrist,ReachObs_Random,10,"[0.3264551  0.42637819 0.5231975  0.46504638 0.86092453 0.48816428
 0.03194411 0.11231164 0.54580821 0.42519141]",0.42054213555556,[False False False False False False False False False False]
wrist,ReachObs_Random,15,"[0.2241304  0.59955381 0.94485153 0.62954386 0.2480091  0.48847105
 0.80412002 0.64696128 0.70288792 1.05523442]",0.6343763383511518,[False False False False False False False False False False]
wrist,ReachObs_Random,20,"[1.26170954 0.68303043 0.40906849 0.29031241 0.48920529 0.42366819
 0.34247692 0.11046318 0.83013358 1.18471876]",0.6024786788667946,[False False False False False False False False False False]
wrist+l_shoulder,ReachObs_Random,5,"[0.84395987 0.67664714 0.85295778 0.04141003 0.4328302  0.08782358
 0.19156958 0.16882142 0.16415556 0.15051942]",0.36106945741731533,[False False False False False  True False False False False]
wrist+l_shoulder,ReachObs_Random,10,"[0.48848361 0.10497444 0.06728442 0.37788576 0.09922528 0.09880829
 0.11750277 0.75909887 0.17930756 0.39586883]",0.268843982740378,[False False False False False  True False False False False]
wrist+l_shoulder,ReachObs_Random,15,"[0.23671398 0.15655504 0.33043676 0.86253883 0.52140749 0.21090832
 0.0971978  0.16424075 0.16033039 0.4410041 ]",0.3181333459484997,[False False False False False False False False False False]
wrist+l_shoulder,ReachObs_Random,20,"[0.35259559 0.22443448 1.0181436  0.11391841 0.47389285 0.54056819
 0.48127018 0.84774587 0.242955   0.85781551]",0.5153339681934734,[False False False  True False False False False False False]
wrist+r_shoulder,ReachObs_Random,5,"[0.40476596 0.52268732 0.58937451 0.87513295 0.40907349 0.49770615
 0.5775552  0.66154741 0.57301956 0.82625843]",0.5937120983032231,[False False False False False False False False False False]
wrist+r_shoulder,ReachObs_Random,10,"[0.36224873 0.63882696 0.64341632 0.16355318 0.21328126 0.39245764
 0.66257706 0.60440739 0.40421003 0.655625  ]",0.4740603560718547,[False False False False False False False False False False]
wrist+r_shoulder,ReachObs_Random,15,"[0.43337018 0.64827468 0.56213538 0.04214463 0.23949263 0.03564068
 0.48930602 0.7874693  0.21912805 1.090042  ]",0.45470035452667884,[False False False False False False False False False False]
wrist+r_shoulder,ReachObs_Random,20,"[0.12592318 0.32653001 0.83211441 0.09449813 0.40588183 0.04507501
 0.28419358 0.52346038 0.64793732 0.70079707]",0.39864109070664,[False False False False False False False False False False]
wrist+l_shoulder+r_shoulder,ReachObs_Random,5,"[0.94488825 0.16600337 0.69858601 0.08858275 0.20730003 0.75792767
 0.63566871 1.26664281 0.65264673 0.55729252]",0.597553885166848,[False False False False False False False False False False]
wrist+l_shoulder+r_shoulder,ReachObs_Random,10,"[0.27172704 0.55164825 0.23391924 0.46858708 0.09192281 0.32782155
 0.32954933 0.45724415 0.40871712 0.51758638]",0.36587229391114195,[False False False False False False False False False False]
wrist+l_shoulder+r_shoulder,ReachObs_Random,15,"[0.04137172 0.17787658 0.13103114 0.66869926 0.13112252 0.09951301
 0.16899401 0.45244231 0.54119873 0.2301931 ]",0.2642442372234457,[False False False False False  True False False False False]
wrist+l_shoulder+r_shoulder,ReachObs_Random,20,"[0.17517186 0.50433265 1.34594398 0.09607645 0.10230259 0.4583165
 0.22749953 0.56910713 0.54030088 0.08765293]",0.4106704492113524,[False False False False False False False False False  True]
