cam_type,task_name,demo_count,final_dists,final_dist_avg,has_reached
wrist,ReachObs_Random,5,"[0.63528684 0.53900835 0.51902193 0.22793343 0.36027352 0.51501724 0.54400578 0.50686316 0.54342474 0.44592604]",0.4836761046388253,[False False False False False False False False False False]
wrist+l_shoulder,ReachObs_Random,5,"[0.41743524 0.60802486 0.36517218 0.1490884  0.54307923 0.86073946 0.79865762 0.39221759 0.16663304 0.0944836 ]",0.43955312327366675,[False False False False False False False False False False]
wrist+r_shoulder,ReachObs_Random,5,"[1.02665145 0.79267086 0.4597834  0.69877379 0.42831643 0.45686338 0.17194033 0.65731211 0.78469398 0.72034258]",0.6197348317357132,[False False False False False False False False False False]
wrist,ReachObs_Random,10,"[0.36613022 1.04323167 1.02792076 0.70510701 0.41377872 0.96073642 0.04585986 0.1650057  0.66993988 0.46094566]",0.5858655881353976,[False False False False False False False False False False]
wrist+l_shoulder,ReachObs_Random,10,"[0.49919611 0.11684462 0.68744967 0.90739303 0.44168542 0.92800149 0.68337265 0.44517672 0.03197799 0.61023936]",0.5351337063489533,[False  True False False False False False False False False]
wrist+r_shoulder,ReachObs_Random,10,"[0.12436787 1.10881398 0.68349337 0.81800909 0.09387254 0.08805503 0.88838868 0.49956486 0.10937022 0.06462717]",0.44785628131044747,[False False False False  True False False False  True  True]
