,task_name,cam_type,epochs,demo_count,max_eplens,done_count,min_distance,final_distance,dataset_type
39,ReachObs_Random,wrist+l_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.327063242148571,0.5983253033270739,obs
40,ReachObs_Random,wrist+l_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.3875836622698375,0.7380454342859324,obs
41,ReachObs_Random,wrist+l_shoulder,5000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4306534845582234,0.8036865731252789,obs
42,ReachObs_Random,l_shoulder+r_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.2614208869101958,0.3406970546529705,obs
43,ReachObs_Random,l_shoulder+r_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",6,0.1232392482458962,0.1329143330391005,obs
44,ReachObs_Random,l_shoulder+r_shoulder,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.2745781902266577,0.3398957788917941,obs
45,ReachObs_Random,l_shoulder+r_shoulder,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",5,0.2271991236072884,0.2359718980570869,obs
46,ReachObs_Random,l_shoulder+r_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",6,0.2366400453965978,0.2740766451588058,obs
47,ReachObs_Random,l_shoulder+r_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",7,0.1294796733488737,0.1335832350788782,obs
48,ReachObs_Random,l_shoulder+r_shoulder,5000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",5,0.1961046370860098,0.2953349445618973,obs
49,ReachObs_Random,wrist,50,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.5587473946757263,0.9516241771342118,obs
50,ReachObs_Random,wrist,100,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4045369951726774,0.724079279582412,obs
51,ReachObs_Random,wrist,200,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.3541847496992466,0.7056791223653087,obs
52,ReachObs_Random,wrist,500,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.406838057483344,0.7437705195880566,obs
53,ReachObs_Random,wrist,1000,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4257632770935225,0.6963755888726242,obs
54,ReachObs_Random,wrist,2000,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.3510833609766626,0.5532960216808928,obs
55,ReachObs_Random,wrist,5000,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4268062328558254,0.6653513739018637,obs
56,ReachObs_Random,l_shoulder,50,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",8,0.130363652137711,0.130363652137711,obs
57,ReachObs_Random,l_shoulder,100,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",8,0.1040552604404343,0.1051380487415531,obs
58,ReachObs_Random,l_shoulder,200,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.4796027495018046,0.6467401477920912,obs
59,ReachObs_Random,l_shoulder,500,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",6,0.2099153074841871,0.2199652132668327,obs
60,ReachObs_Random,l_shoulder,1000,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",7,0.1844682701272654,0.2091299655489212,obs
61,ReachObs_Random,l_shoulder,2000,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",5,0.1917965793797482,0.2315543288500705,obs
62,ReachObs_Random,l_shoulder,5000,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",5,0.1691922927532257,0.1713170314187838,obs
63,ReachObs_Random,r_shoulder,50,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.2175722544341615,0.239918403670264,obs
64,ReachObs_Random,r_shoulder,100,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",6,0.1944890789654711,0.2302302820306034,obs
65,ReachObs_Random,r_shoulder,200,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",9,0.142893332849679,0.1699433732011761,obs
