,task_name,cam_type,epochs,demo_count,max_eplens,done_count,min_distance,final_distance,dataset_type,mbsize
0,ReachObs_Random,wrist,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.42272571494686406,0.827578361286027,obs,40
1,ReachObs_Random,wrist,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.45254663864728045,0.7525257767054403,obs,64
2,ReachObs_Random,wrist,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4496533991253181,0.6897727593137084,obs,100
3,ReachObs_Random,wrist,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.42902886216581476,0.6782421579239226,obs,40
4,ReachObs_Random,wrist,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4141878766849897,0.7551734124478482,obs,64
5,ReachObs_Random,wrist,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.42123190247566217,0.8452292712308569,obs,100
6,ReachObs_Random,wrist,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.37237933347200936,0.5778147499044073,obs,40
7,ReachObs_Random,wrist,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4203291653154294,0.6829703476968346,obs,64
8,ReachObs_Random,wrist,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4111266221283403,0.47426107817450147,obs,100
9,ReachObs_Random,wrist,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.44796570793601526,0.8668115973209882,obs,40
10,ReachObs_Random,wrist,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.419646492074741,0.7662991317155182,obs,64
11,ReachObs_Random,wrist,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.3905334758097906,0.6151810713426984,obs,100
12,ReachObs_Random,wrist,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.3749950648098322,0.749021600025461,obs,40
13,ReachObs_Random,wrist,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.42780308955041574,0.5943002190031682,obs,64
14,ReachObs_Random,wrist,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.347566569239672,0.6508932039031616,obs,100
15,ReachObs_Random,wrist,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.39913206842218574,0.8123805039610283,obs,40
16,ReachObs_Random,wrist,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.41213543756497834,0.659564813271442,obs,64
17,ReachObs_Random,wrist,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.43130445177039684,0.7550056646220243,obs,100
18,ReachObs_Random,l_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.2463865565984314,0.2780549252628972,obs,40
19,ReachObs_Random,l_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.2721146300132705,0.3045882544697357,obs,64
20,ReachObs_Random,l_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4668674061456917,0.5318517390256956,obs,100
21,ReachObs_Random,l_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.28726652145636866,0.35751583546737514,obs,40
22,ReachObs_Random,l_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.1820824447197603,0.20285242336871137,obs,64
23,ReachObs_Random,l_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.3651939481104766,0.5258056037045163,obs,100
24,ReachObs_Random,l_shoulder,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.3225054670905718,0.4288399097548264,obs,40
