,Unnamed: 0.1,Unnamed: 0,seed,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance,agent
32,32.0,11,3790,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,600,2.0,0.0,0.1965598560581268,0.1207652356007062,0.225161584849332,0.3066455996206532,
33,33.0,14,3790,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,1.0,0.0,0.1647092577449047,0.1130356841995481,0.1420402115586737,0.2180541624688987,
34,34.0,16,3790,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,800,1.0,0.0,0.1581701966199289,0.1209358628514308,0.216651734037064,0.2949387263122389,
35,35.0,19,3790,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,1.0,0.0,0.1654105645578693,0.113189891173255,0.1360209454320766,0.2045576430898032,
36,36.0,1,3790,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.1729615066157105,0.1482889806602175,0.2490274815598207,0.2803999428083467,
37,37.0,4,3790,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,2.0,0.0,0.1419863245942963,0.1032978571780258,0.1548404771293695,0.2196148178870119,
38,38.0,6,3790,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,200,2.0,1.0,0.2243426819770917,0.1593011893711736,0.2411820475101958,0.3509975945546515,
39,39.0,9,3790,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0.0,0.0,0.1895210790702077,0.1321305749599033,0.1625874773371782,0.2794852633814272,
40,40.0,11,3790,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,600,0.0,0.0,0.2520275371072481,0.1973794717084211,0.2616645604885244,0.3065693029659521,
41,41.0,14,3790,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,2.0,0.0,0.1726656291206247,0.1203919102004263,0.1544002291423149,0.2248953488752484,
42,42.0,16,3790,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,800,3.0,0.0,0.1900450059051135,0.1534616375653121,0.2943511752830027,0.3487999692781788,
43,43.0,19,3790,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,3.0,0.0,0.2095422470801257,0.1456794218279707,0.1707553408528117,0.2449371128956103,
44,44.0,4,3790,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.3495100778361036,0.2657291475224654,0.3638550857143323,0.4240414864296723,
45,45.0,9,3790,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1.0,0.0,0.197723230406498,0.1372398293268034,0.1381034573843145,0.1945791797702852,
46,46.0,14,3790,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,1.0,0.0,0.148329809857941,0.1054066995006439,0.1351284215943691,0.2123947620172492,
47,47.0,19,3790,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0.0,0.0,0.2464756188292553,0.1430991517859129,0.1378098845578259,0.221026706406665,
48,48.0,4,3790,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,1.0,0.0,0.2213665800494306,0.1077738861173377,0.1538688313959818,0.2609539341554309,
49,49.0,9,3790,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0.0,0.0,0.2028993749634373,0.118660420757613,0.1376713572831704,0.2294831852749925,
50,50.0,14,3790,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,4.0,0.0,0.1903697372504955,0.1150496842046739,0.1198987254883525,0.1918240201886309,
51,51.0,19,3790,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,2.0,0.0,0.1420007010946864,0.1011792457685415,0.1209783893103598,0.2276713782270076,
52,52.0,1,3790,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,100,1.0,0.0,0.3003472035443829,0.2355605517321214,0.3174416933742449,0.3704236625197645,
53,53.0,6,3790,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.1714986912856651,0.1237333919003994,0.2644614599961888,0.3086072526857317,
54,54.0,11,3790,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,600,0.0,0.0,0.2257528526214964,0.182038476254784,0.294067712603466,0.3452178881322663,
55,55.0,16,3790,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,800,2.0,0.0,0.1881369998559752,0.1446695820262649,0.293179739862188,0.3517374055522485,
56,56.0,1,3790,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,100,1.0,0.0,0.2796284730575769,0.2472262670425335,0.3280889296630563,0.3743564959720479,
57,57.0,6,3790,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,200,2.0,0.0,0.2503246570084395,0.1286442864289895,0.2443024187283944,0.4297333182319984,
58,58.0,11,3790,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,600,2.0,0.0,0.266747012216797,0.2360344618427218,0.3119273812716388,0.3455778957270561,
59,59.0,16,3790,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,800,0.0,0.0,0.3850912407777579,0.3845021938903775,0.4419963150732396,0.4452214866136244,
