,Unnamed: 0.1,Unnamed: 0,seed,config,error,task_name,demo_idx,cam_type,epochs,is_control_done,is_test_done,control_final_distance,control_min_distance,test_final_distance,test_min_distance,control_gripper_image_paths,test_gripper_image_paths
0,0.0,0,3790,FuseConfig.WDLR,False,Vision_Random,0.0,wrist,100,False,False,0.2111673388155163,0.2083484475037891,0.2369914333073957,0.1993285992333829,[],[]
1,1.0,1,3790,FuseConfig.WDLR,False,Vision_Random,1.0,wrist,100,False,False,0.0866722817352622,0.0844062867158025,0.4462720851443345,0.4446026057865102,[],[]
2,2.0,2,3790,FuseConfig.WDLR,False,Vision_Random,2.0,wrist,100,False,False,0.0929492773006766,0.0809636938468845,0.0676799938261429,0.0636034955605416,[],[]
3,3.0,3,3790,FuseConfig.WDLR,False,Vision_Random,3.0,wrist,100,False,False,0.095785839920954,0.0819650170978491,0.3489330118865906,0.2975611102514932,[],[]
4,4.0,4,3790,FuseConfig.WDLR,False,Vision_Random,4.0,wrist,100,False,False,0.0883026782468792,0.0792191234970629,0.1014252359902467,0.1014252359902467,[],[]
5,5.0,5,3790,FuseConfig.WDLR,False,Vision_Random,5.0,wrist,100,False,False,0.3883219248238164,0.0802496669373338,0.5268867292334644,0.5268867292334644,[],[]
6,6.0,6,3790,FuseConfig.WDLR,False,Vision_Random,6.0,wrist,100,False,False,0.0900542503840772,0.0767193160938474,0.2306513142203839,0.1930862194117955,[],[]
7,7.0,7,3790,FuseConfig.WDLR,False,Vision_Random,7.0,wrist,100,False,False,0.0891525183184906,0.0891525183184906,0.1437519345747622,0.0372763020008454,[],[]
8,8.0,8,3790,FuseConfig.WDLR,False,Vision_Random,8.0,wrist,100,False,False,0.1265101556169464,0.1265101556169464,0.0951501426471652,0.0951501426471652,[],[]
9,9.0,9,3790,FuseConfig.WDLR,False,Vision_Random,9.0,wrist,100,False,False,0.3723599426518276,0.2864408218572208,0.4786901972168137,0.4786901972168137,[],[]
10,10.0,10,3790,FuseConfig.WDLR,False,Vision_Random,0.0,wrist+wrist_depth,100,False,False,0.2134445812317175,0.2134445812317175,0.2863460054662411,0.2863460054662411,[],[]
11,11.0,11,3790,FuseConfig.WDLR,False,Vision_Random,1.0,wrist+wrist_depth,100,False,False,0.2687660228048684,0.2687660228048684,0.4661728156860894,0.4661728156860894,[],[]
12,12.0,12,3790,FuseConfig.WDLR,False,Vision_Random,2.0,wrist+wrist_depth,100,False,False,0.3432792978718674,0.3432792978718674,0.1270711955505336,0.1270711955505336,[],[]
13,13.0,13,3790,FuseConfig.WDLR,False,Vision_Random,3.0,wrist+wrist_depth,100,False,False,0.0859888627410863,0.0835435270136143,0.2720149229920173,0.2625370688565545,[],[]
14,14.0,14,3790,FuseConfig.WDLR,False,Vision_Random,4.0,wrist+wrist_depth,100,False,False,0.3341295872245184,0.3341295872245184,0.4093240554795285,0.4093240554795285,[],[]
15,15.0,15,3790,FuseConfig.WDLR,False,Vision_Random,5.0,wrist+wrist_depth,100,False,False,0.3027183409441192,0.1224065325995297,0.5585782652331953,0.5585782652331953,[],[]
16,16.0,16,3790,FuseConfig.WDLR,False,Vision_Random,6.0,wrist+wrist_depth,100,False,False,0.0818799926245288,0.0792859396205526,0.2444005311703241,0.2444005311703241,[],[]
17,17.0,17,3790,FuseConfig.WDLR,False,Vision_Random,7.0,wrist+wrist_depth,100,False,False,0.2172969110419516,0.2172969110419516,0.0878613063878879,0.0459101391088284,[],[]
18,18.0,18,3790,FuseConfig.WDLR,False,Vision_Random,8.0,wrist+wrist_depth,100,False,False,0.4017203938292907,0.4017203938292907,0.3584847045570416,0.3584847045570416,[],[]
19,19.0,19,3790,FuseConfig.WDLR,False,Vision_Random,9.0,wrist+wrist_depth,100,False,False,0.3888849047615731,0.3621230320429898,0.5417521882463063,0.5417521882463063,[],[]
