,task_name,cam_type,demo_count,max_eplen,mb_size,is_success,min_distance,final_distance,gripper_image_paths
104,Vision_Static,l_shoulder+r_shoulder,1,demo_max,256,True,0.09758807406503507,0.09890743862591263,['outputs/run-grasp-with-agent/_May12_14-54/104']
105,Vision_Static,l_shoulder+r_shoulder,1,demo_max,256,True,0.1032238829530144,0.10458313063090038,['outputs/run-grasp-with-agent/_May12_14-54/105']
106,Vision_Static,l_shoulder+r_shoulder,1,demo_max,256,True,0.10486038648649185,0.10486038648649185,['outputs/run-grasp-with-agent/_May12_14-55/106']
107,Vision_Static,l_shoulder+r_shoulder,1,demo_max,256,True,0.10688733591841791,0.10828490868163923,['outputs/run-grasp-with-agent/_May12_14-55/107']
108,Vision_Static,l_shoulder+r_shoulder,1,demo_max,256,True,0.10535492386126923,0.10535492386126923,['outputs/run-grasp-with-agent/_May12_14-55/108']
109,Vision_Static,l_shoulder+r_shoulder,1,demo_max,256,True,0.09325045176285908,0.09559889633100162,['outputs/run-grasp-with-agent/_May12_14-55/109']
110,Vision_Static,l_shoulder+r_shoulder,1,demo_max,512,True,0.11825774389327345,0.11825774389327345,['outputs/run-grasp-with-agent/_May12_14-55/110']
111,Vision_Static,l_shoulder+r_shoulder,1,demo_max,512,True,0.09307125010149622,0.09629842633872689,['outputs/run-grasp-with-agent/_May12_14-55/111']
112,Vision_Static,l_shoulder+r_shoulder,1,demo_max,512,False,0.15900041871654286,0.15900041871654286,[]
113,Vision_Static,l_shoulder+r_shoulder,1,demo_max,512,True,0.10442279082588232,0.10442279082588232,['outputs/run-grasp-with-agent/_May12_14-55/113']
114,Vision_Static,l_shoulder+r_shoulder,1,demo_max,512,True,0.09733131789840294,0.10009132635249444,['outputs/run-grasp-with-agent/_May12_14-55/114']
115,Vision_Static,l_shoulder+r_shoulder,1,demo_max,512,True,0.0939499376089107,0.0939499376089107,['outputs/run-grasp-with-agent/_May12_14-56/115']
116,Vision_Static,l_shoulder+r_shoulder,1,demo_max,512,True,0.12045103861096026,0.12045103861096026,['outputs/run-grasp-with-agent/_May12_14-56/116']
117,Vision_Static,l_shoulder+r_shoulder,1,demo_max,512,True,0.10981790730057336,0.10981790730057336,['outputs/run-grasp-with-agent/_May12_14-56/117']
118,Vision_Static,l_shoulder+r_shoulder,1,demo_max,512,True,0.08710345526593476,0.08710345526593476,['outputs/run-grasp-with-agent/_May12_14-56/118']
119,Vision_Static,l_shoulder+r_shoulder,1,demo_max,512,True,0.11181852425616433,0.11181852425616433,['outputs/run-grasp-with-agent/_May12_14-56/119']
