67,task_name,agent_name,demo_type,task_params,demo_index,is_success,final_distance,min_distance,max_eplen,gripper_image_paths
19,Vision_Random,agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",9,False,0.09957771804269425,0.09523484575878836,98,[]
20,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",0,False,0.2560300327170027,0.22418324699681577,98,[]
21,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",1,False,0.36906741062571347,0.13532518675960256,98,[]
22,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",2,False,0.35629253240943265,0.175429022064358,98,[]
23,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",3,False,0.22960152791592867,0.13836297943791673,98,[]
24,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",4,False,0.2469439713557019,0.165873662970262,98,[]
25,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",5,False,0.0795543866578141,0.07885045783559971,98,[]
26,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",6,False,0.10694920845782971,0.10691405509602381,98,[]
27,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",7,False,0.2424499745199634,0.1760815307194296,98,[]
28,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",8,False,0.19518190042277989,0.19494595039917104,98,[]
29,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",9,False,0.16429390272047972,0.07976188512105391,98,"['outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54']"
30,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",0,False,0.1695420008413724,0.1695420008413724,98,[]
31,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",1,False,0.45413295260693415,0.15651979336640692,98,[]
32,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",2,False,0.13676057636466318,0.11374850994921767,98,[]
33,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",3,False,0.27101797863089705,0.1278364176189598,98,[]
34,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",4,False,0.16547318564166988,0.10155773426955304,98,"['outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54', 'outputs/run-grasp-with-agent/_May26_10-54']"
