,Unnamed: 0,rep,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
35,1,0,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.1497738732183815,0.1428430258325408,0.1477833507502682,0.1527216079223803
36,4,0,FuseConfig.WLR_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.1614137158993627,0.158079276134932,0.1126109736321638,0.1380898578633842
37,6,0,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,150,2.0,0.0,0.0986251117320742,0.0975701594416169,0.1255212321076763,0.1669481401346705
38,9,0,FuseConfig.WLR_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,0.0,0.0,0.287435253705636,0.1827848718277551,0.1422363897813898,0.3062506999082116
39,11,0,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.142485421525138,0.0962554495021628,0.1437843570874402,0.2226321156439029
40,14,0,FuseConfig.WLR_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1.0,0.0,0.1020818664972746,0.0960494622675069,0.1149678147743762,0.1828532180397988
41,16,0,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,400,5.0,0.0,0.1094804617614605,0.0832410157292387,0.1319521279502769,0.1958581834507867
42,19,0,FuseConfig.WLR_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,3.0,0.0,0.1478415206069945,0.1272972654426045,0.1079896722935994,0.1657647282438527
43,21,0,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,500,5.0,0.0,0.1403864844635179,0.1234337907811048,0.1305465437057175,0.1851340712263929
44,24,0,FuseConfig.WLR_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,1.0,0.0,0.2625489939980754,0.2528767269849706,0.2143751959457923,0.2160918537666808
45,26,0,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,1000,7.0,0.0,0.1450722509064533,0.1044996342354199,0.1273143635851069,0.1830252687826978
46,29,0,FuseConfig.WLR_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,4.0,1.0,0.1477609165576463,0.1137460502748462,0.1150238578634837,0.2116022594146619
