,task_name,epochs,cam_type,repeat_idx,demo_count,control_done,min_distance,final_distance,dataset_type,grasp_loss_lambda,control_gripper_image_paths
48,Vision_Static,100,wrist,8,1,False,0.07853083248670344,0.07910702289450575,demo,1.2,[]
49,Vision_Static,100,wrist,9,1,False,0.12299713444508284,0.12441732238982195,demo,1.2,[]
50,Vision_Static,100,wrist+wrist_depth,0,1,False,0.20103610209604741,0.20103610209604741,demo,0.8,[]
51,Vision_Static,100,wrist+wrist_depth,1,1,False,0.23940410671526324,0.23940410671526324,demo,0.8,[]
52,Vision_Static,100,wrist+wrist_depth,2,1,False,0.24564029979113144,0.24564029979113144,demo,0.8,[]
53,Vision_Static,100,wrist+wrist_depth,3,1,False,0.2466322371836213,0.2466322371836213,demo,0.8,[]
54,Vision_Static,100,wrist+wrist_depth,4,1,False,0.20384539019169637,0.20384539019169637,demo,0.8,[]
55,Vision_Static,100,wrist+wrist_depth,5,1,False,0.19053338896248975,0.19053338896248975,demo,0.8,[]
56,Vision_Static,100,wrist+wrist_depth,6,1,False,0.27056323162329426,0.27056323162329426,demo,0.8,[]
57,Vision_Static,100,wrist+wrist_depth,7,1,False,0.22163176382591043,0.22163176382591043,demo,0.8,[]
58,Vision_Static,100,wrist+wrist_depth,8,1,False,0.21699346242272982,0.21699346242272982,demo,0.8,[]
59,Vision_Static,100,wrist+wrist_depth,9,1,False,0.22770406602610196,0.22770406602610196,demo,0.8,[]
60,Vision_Static,100,wrist+wrist_depth,0,1,False,0.17203814878710463,0.17203814878710463,demo,0.9,[]
61,Vision_Static,100,wrist+wrist_depth,1,1,False,0.2348970312334958,0.2348970312334958,demo,0.9,[]
62,Vision_Static,100,wrist+wrist_depth,2,1,False,0.16443552154249635,0.16443552154249635,demo,0.9,[]
63,Vision_Static,100,wrist+wrist_depth,3,1,False,0.13420640984234095,0.13588094242715656,demo,0.9,[]
64,Vision_Static,100,wrist+wrist_depth,4,1,False,0.12671168344098405,0.12671168344098405,demo,0.9,[]
65,Vision_Static,100,wrist+wrist_depth,5,1,False,0.16585936617630387,0.16585936617630387,demo,0.9,[]
66,Vision_Static,100,wrist+wrist_depth,6,1,False,0.09840485490210094,0.12254372717756547,demo,0.9,[]
67,Vision_Static,100,wrist+wrist_depth,7,1,False,0.19351715792906732,0.19351715792906732,demo,0.9,[]
68,Vision_Static,100,wrist+wrist_depth,8,1,False,0.12327383116632172,0.1341728229015424,demo,0.9,[]
69,Vision_Static,100,wrist+wrist_depth,9,1,False,0.18609384122383107,0.18609384122383107,demo,0.9,[]
70,Vision_Static,100,wrist+wrist_depth,0,1,False,0.1755088684727216,0.1755088684727216,demo,1.0,[]
71,Vision_Static,100,wrist+wrist_depth,1,1,False,0.197253770504931,0.197253770504931,demo,1.0,[]
72,Vision_Static,100,wrist+wrist_depth,2,1,False,0.09856237815909719,0.10972509605327854,demo,1.0,[]
73,Vision_Static,100,wrist+wrist_depth,3,1,False,0.18562590484739705,0.18562590484739705,demo,1.0,[]
74,Vision_Static,100,wrist+wrist_depth,4,1,False,0.21027792472481815,0.21027792472481815,demo,1.0,[]
75,Vision_Static,100,wrist+wrist_depth,5,1,False,0.21919037873958608,0.21919037873958608,demo,1.0,[]
76,Vision_Static,100,wrist+wrist_depth,6,1,False,0.18281505066130213,0.18281505066130213,demo,1.0,[]
77,Vision_Static,100,wrist+wrist_depth,7,1,False,0.2185981198503727,0.2185981198503727,demo,1.0,[]
78,Vision_Static,100,wrist+wrist_depth,8,1,False,0.16349715163150436,0.16349715163150436,demo,1.0,[]
79,Vision_Static,100,wrist+wrist_depth,9,1,False,0.1433539673962451,0.14941043947477667,demo,1.0,[]
80,Vision_Static,100,wrist+wrist_depth,0,1,False,0.20684876965447319,0.20684876965447319,demo,1.1,[]
81,Vision_Static,100,wrist+wrist_depth,1,1,False,0.13390549944612187,0.13464642803683788,demo,1.1,[]
82,Vision_Static,100,wrist+wrist_depth,2,1,False,0.08784993457887635,0.1101836523238368,demo,1.1,[]
83,Vision_Static,100,wrist+wrist_depth,3,1,False,0.1304185620212475,0.13520421894928977,demo,1.1,[]
84,Vision_Static,100,wrist+wrist_depth,4,1,False,0.14296357221012282,0.14546610309333133,demo,1.1,[]
85,Vision_Static,100,wrist+wrist_depth,5,1,False,0.1327736733476833,0.13808123112295684,demo,1.1,[]
86,Vision_Static,100,wrist+wrist_depth,6,1,False,0.12747480633748406,0.1383145001343295,demo,1.1,[]
87,Vision_Static,100,wrist+wrist_depth,7,1,False,0.13068331980979378,0.13073382701801714,demo,1.1,[]
88,Vision_Static,100,wrist+wrist_depth,8,1,False,0.15627556868672504,0.15627556868672504,demo,1.1,[]
89,Vision_Static,100,wrist+wrist_depth,9,1,False,0.08149794945383439,0.09661923975418543,demo,1.1,[]
90,Vision_Static,100,wrist+wrist_depth,0,1,False,0.18491889358415073,0.18491889358415073,demo,1.2,[]
91,Vision_Static,100,wrist+wrist_depth,1,1,False,0.14118352805468637,0.1432644993341967,demo,1.2,[]
92,Vision_Static,100,wrist+wrist_depth,2,1,False,0.13053326566929271,0.13150877128895544,demo,1.2,[]
93,Vision_Static,100,wrist+wrist_depth,3,1,False,0.11536106090206627,0.13151788249200372,demo,1.2,[]
