,task_name,epochs,cam_type,demo_count,done_count,avg_min_distance,avg_final_distance,dataset_type,grasp_loss_lambda
52,Vision_Static,120,wrist+l_shoulder+r_shoulder,1,0,0.13971593329652315,0.14051842582014726,demo,1.0
53,Vision_Static,120,wrist+l_shoulder+r_shoulder,1,0,0.14320193545080678,0.14659780379855875,demo,1.1
54,Vision_Static,120,wrist+l_shoulder+r_shoulder,1,0,0.15670687554973345,0.16161232814312249,demo,1.2
55,Vision_Static,120,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.14159217016930903,0.14210109855819264,demo,0.8
56,Vision_Static,120,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.14425972076768934,0.14455244643300003,demo,0.9
57,Vision_Static,120,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.16233670668169817,0.16233670668169817,demo,1.0
58,Vision_Static,120,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.17245661977353519,0.17258208530358146,demo,1.1
59,Vision_Static,120,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.16436369474724635,0.16457538821333673,demo,1.2
60,Vision_Static,120,wrist+r_shoulder,1,0,0.13709255893294472,0.13709255893294472,demo,0.8
61,Vision_Static,120,wrist+r_shoulder,1,0,0.14877642082728287,0.14877642082728287,demo,0.9
62,Vision_Static,120,wrist+r_shoulder,1,0,0.10203245918181122,0.10203245918181122,demo,1.0
63,Vision_Static,120,wrist+r_shoulder,1,0,0.1325222908672386,0.1325222908672386,demo,1.1
64,Vision_Static,120,wrist+r_shoulder,1,0,0.11716867955193103,0.11801601135976136,demo,1.2
65,Vision_Static,120,wrist+l_shoulder,1,0,0.16277011171152972,0.1851219806608202,demo,0.8
66,Vision_Static,120,wrist+l_shoulder,1,2,0.12418764028533583,0.13192971475945686,demo,0.9
67,Vision_Static,120,wrist+l_shoulder,1,0,0.14937937310248028,0.1820740510236851,demo,1.0
68,Vision_Static,120,wrist+l_shoulder,1,1,0.1317616220902603,0.14009176269930732,demo,1.1
69,Vision_Static,120,wrist+l_shoulder,1,0,0.1670810001230117,0.1944128430373637,demo,1.2
70,Vision_Static,150,wrist,1,0,0.2322249495173329,0.23570848198694733,demo,0.8
71,Vision_Static,150,wrist,1,0,0.24492073234797612,0.24575516866442598,demo,0.9
72,Vision_Static,150,wrist,1,0,0.22079968031873967,0.2239112134386064,demo,1.0
73,Vision_Static,150,wrist,1,0,0.2471746019561452,0.24917468595993725,demo,1.1
74,Vision_Static,150,wrist,1,0,0.22028262838063323,0.22470958467108532,demo,1.2
75,Vision_Static,150,wrist+wrist_depth,1,0,0.3298183125283065,0.3298183125283065,demo,0.8
76,Vision_Static,150,wrist+wrist_depth,1,0,0.30550250624813247,0.30550250624813247,demo,0.9
77,Vision_Static,150,wrist+wrist_depth,1,0,0.324721332011768,0.324721332011768,demo,1.0
78,Vision_Static,150,wrist+wrist_depth,1,0,0.32614046703253374,0.32614046703253374,demo,1.1
79,Vision_Static,150,wrist+wrist_depth,1,0,0.32910937739891366,0.32910937739891366,demo,1.2
80,Vision_Static,150,l_shoulder+r_shoulder,1,0,0.18247512594091014,0.23521812573551354,demo,0.8
81,Vision_Static,150,l_shoulder+r_shoulder,1,0,0.19775556184196508,0.24223980160321085,demo,0.9
82,Vision_Static,150,l_shoulder+r_shoulder,1,0,0.17577962921075652,0.2338323565049719,demo,1.0
83,Vision_Static,150,l_shoulder+r_shoulder,1,0,0.20485165012199863,0.24242020395634975,demo,1.1
84,Vision_Static,150,l_shoulder+r_shoulder,1,0,0.15290741038180108,0.20739687662315948,demo,1.2
85,Vision_Static,150,wrist+l_shoulder+r_shoulder,1,0,0.12400073165058019,0.1253870632374382,demo,0.8
