,task_name,epochs,cam_type,repeat_idx,demo_count,control_done,min_distance,final_distance,dataset_type,grasp_loss_lambda,control_gripper_image_paths
55,Vision_Static,100,wrist+wrist_depth,5,1,False,0.2697915650016825,0.2697915650016825,demo,0.8,[]
56,Vision_Static,100,wrist+wrist_depth,6,1,False,0.2763304777172831,0.2763304777172831,demo,0.8,[]
57,Vision_Static,100,wrist+wrist_depth,7,1,False,0.2825043750010446,0.2825043750010446,demo,0.8,[]
58,Vision_Static,100,wrist+wrist_depth,8,1,False,0.24573845429258115,0.24573845429258115,demo,0.8,[]
59,Vision_Static,100,wrist+wrist_depth,9,1,False,0.2867323126108441,0.2867323126108441,demo,0.8,[]
60,Vision_Static,100,wrist+wrist_depth,0,1,False,0.26689409609781856,0.26689409609781856,demo,0.9,[]
61,Vision_Static,100,wrist+wrist_depth,1,1,False,0.22916871581883475,0.22916871581883475,demo,0.9,[]
62,Vision_Static,100,wrist+wrist_depth,2,1,False,0.21153308960186912,0.21153308960186912,demo,0.9,[]
63,Vision_Static,100,wrist+wrist_depth,3,1,False,0.26610700281499705,0.26610700281499705,demo,0.9,[]
64,Vision_Static,100,wrist+wrist_depth,4,1,False,0.2711569267305674,0.2711569267305674,demo,0.9,[]
65,Vision_Static,100,wrist+wrist_depth,5,1,False,0.2307680486346062,0.2307680486346062,demo,0.9,[]
66,Vision_Static,100,wrist+wrist_depth,6,1,False,0.24092211689893703,0.24092211689893703,demo,0.9,[]
67,Vision_Static,100,wrist+wrist_depth,7,1,False,0.2662720787044832,0.2662720787044832,demo,0.9,[]
68,Vision_Static,100,wrist+wrist_depth,8,1,False,0.19457698638829302,0.19457698638829302,demo,0.9,[]
69,Vision_Static,100,wrist+wrist_depth,9,1,False,0.21729618634259273,0.21729618634259273,demo,0.9,[]
70,Vision_Static,100,wrist+wrist_depth,0,1,False,0.27394852299307526,0.27394852299307526,demo,1.0,[]
71,Vision_Static,100,wrist+wrist_depth,1,1,False,0.2855378930856898,0.2855378930856898,demo,1.0,[]
72,Vision_Static,100,wrist+wrist_depth,2,1,False,0.2829397590747052,0.2829397590747052,demo,1.0,[]
73,Vision_Static,100,wrist+wrist_depth,3,1,False,0.26097038303785086,0.26097038303785086,demo,1.0,[]
74,Vision_Static,100,wrist+wrist_depth,4,1,False,0.28431805701627677,0.28431805701627677,demo,1.0,[]
75,Vision_Static,100,wrist+wrist_depth,5,1,False,0.2887254620550819,0.2887254620550819,demo,1.0,[]
76,Vision_Static,100,wrist+wrist_depth,6,1,False,0.28654559035084726,0.28654559035084726,demo,1.0,[]
77,Vision_Static,100,wrist+wrist_depth,7,1,False,0.28031047541427995,0.28031047541427995,demo,1.0,[]
78,Vision_Static,100,wrist+wrist_depth,8,1,False,0.29035482290069653,0.29035482290069653,demo,1.0,[]
79,Vision_Static,100,wrist+wrist_depth,9,1,False,0.2753760162301558,0.2753760162301558,demo,1.0,[]
80,Vision_Static,100,wrist+wrist_depth,0,1,False,0.2880845727804398,0.28920550051460847,demo,1.1,[]
81,Vision_Static,100,wrist+wrist_depth,1,1,False,0.2916995258259191,0.29191290351495064,demo,1.1,[]
82,Vision_Static,100,wrist+wrist_depth,2,1,False,0.27988793966412584,0.2802712662933572,demo,1.1,[]
83,Vision_Static,100,wrist+wrist_depth,3,1,False,0.2769060306570052,0.2769060306570052,demo,1.1,[]
