,task_name,epochs,cam_type,demo_count,done_count,avg_min_distance,avg_final_distance,dataset_type,grasp_loss_lambda
52,Vision_Static,120,wrist+l_shoulder+r_shoulder,1,0,0.17391008201254599,0.17707128038695172,demo,1.0
53,Vision_Static,120,wrist+l_shoulder+r_shoulder,1,0,0.17840822754310534,0.18149125554960693,demo,1.1
54,Vision_Static,120,wrist+l_shoulder+r_shoulder,1,0,0.19032400246565798,0.19172206387810634,demo,1.2
55,Vision_Static,120,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.14965469407656423,0.15103903023051235,demo,0.8
56,Vision_Static,120,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.13717786942689109,0.13929742929337877,demo,0.9
57,Vision_Static,120,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.13765977721687164,0.13929842265846812,demo,1.0
58,Vision_Static,120,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.1277484562480598,0.1312652109995611,demo,1.1
59,Vision_Static,120,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.13575527969697126,0.137262436942081,demo,1.2
60,Vision_Static,120,wrist+r_shoulder,1,0,0.09377206819973034,0.10459387908261675,demo,0.8
61,Vision_Static,120,wrist+r_shoulder,1,0,0.10051208139169761,0.11088000543989288,demo,0.9
62,Vision_Static,120,wrist+r_shoulder,1,0,0.10237010614454811,0.12631974050232259,demo,1.0
63,Vision_Static,120,wrist+r_shoulder,1,0,0.10781055366496292,0.13570347271532865,demo,1.1
64,Vision_Static,120,wrist+r_shoulder,1,0,0.09576546170643666,0.10477238666218351,demo,1.2
65,Vision_Static,120,wrist+l_shoulder,1,2,0.10826995295955602,0.10869172830887604,demo,0.8
66,Vision_Static,120,wrist+l_shoulder,1,10,0.0979948504646502,0.09827830103235716,demo,0.9
67,Vision_Static,120,wrist+l_shoulder,1,2,0.09470778466522717,0.09482079848107973,demo,1.0
68,Vision_Static,120,wrist+l_shoulder,1,4,0.10632701999402325,0.10663631435839234,demo,1.1
